1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,classify
712,794,894,115,309,323,477,0.8881,0.8967,1.25562,0.37217,0.67715,55.875,44.125,55.125,23,61.8,59.625,0
1260,1036,104,284,283,492,308,9.9615,1.2162,0.08254,1.00353,1.59740,7.375,94.375,36.875,56.8,56.6,38.5,0
988,948,464,150,406,633,167,2.0431,1.0422,0.46964,0.36946,3.79042,32,74,50.5,30,81.2,20.875,0
1127,438,835,200,288,337,463,0.5246,2.5731,0.74091,0.69444,0.72786,62.875,58.5,17.625,40,77.6,57.875,0
764,605,1031,264,230,385,415,0.5868,1.2628,1.34948,1.14783,0.92771,72,43.125,47.625,52.8,46,51.875,0
1122,286,992,103,64,317,483,0.2883,3.9231,0.88414,1.60938,0.65631,87.875,63.875,23.625,20.6,12.8,60.375,0
976,762,662,327,283,582,218,1.1511,1.2808,0.67828,1.15548,2.66972,43.25,60.5,38.5,65.4,56.6,27.25,0
1152,270,978,49,427,99,701,0.2761,4.2667,0.84896,0.11475,0.14123,77.375,55.125,11.125,9.8,85.4,87.625,0
947,572,881,437,310,527,273,0.6493,1.6556,0.93031,1.40968,1.93040,68,57.875,39.5,87.4,62,34.125,0
1216,521,663,185,233,512,288,0.7858,2.3340,0.54523,0.79399,1.77778,57.25,74.375,22.375,37,46.6,36,0
998,638,764,283,161,217,583,0.8351,1.5643,0.76553,1.75776,0.37221,62.625,67.125,42.375,56.6,32.2,72.875,0
1125,1027,248,27,207,724,76,4.1411,1.0954,0.22044,0.13043,9.52632,9.5,78.5,37.875,5.4,41.4,9.5,0
1129,575,696,295,298,499,301,0.8261,1.9635,0.61647,0.98993,1.65781,58,71,29.875,59,59.6,37.625,0
1010,748,642,294,285,203,597,1.1651,1.3503,0.63564,1.03158,0.34003,42.75,62.5,36.25,58.8,57,74.625,0
1022,614,764,112,353,177,623,0.8037,1.6645,0.74755,0.31728,0.28411,68.875,73.375,45.625,22.4,70.6,77.875,0
1002,534,864,264,210,346,454,0.6181,1.8764,0.86228,1.25714,0.76211,58.875,50.875,25.625,52.8,42,56.75,0
977,407,1016,318,248,499,301,0.4006,2.4005,1.03992,1.28226,1.65781,65.25,38.25,16.125,63.6,49.6,37.625,0
814,881,705,323,355,398,402,1.2496,0.9240,0.86609,0.90986,0.99005,55,66.875,65.125,64.6,71,50.25,0
1480,445,475,179,295,599,201,0.9368,3.3258,0.32095,0.60678,2.98010,53.5,94.125,9.125,35.8,59,25.125,0
1122,232,1046,291,283,590,210,0.2218,4.8362,0.93226,1.02827,2.80952,84.375,53.625,13.375,58.2,56.6,26.25,0
1069,510,821,195,311,263,537,0.6212,2.0961,0.76801,0.62701,0.48976,58.875,56.25,22.625,39,62.2,67.125,0
791,1038,571,387,250,610,190,1.8179,0.7620,0.72187,1.54800,3.21053,30.125,58.75,59.875,77.4,50,23.75,0
1036,391,973,107,300,304,496,0.4018,2.6496,0.93919,0.35667,0.61290,66.25,44.625,15.125,21.4,60,62,0
968,736,696,243,232,537,263,1.0575,1.3152,0.71901,1.04741,2.04183,40.5,53.5,32.5,48.6,46.4,32.875,0
492,1030,878,195,276,316,484,1.1731,0.4777,1.78455,0.70652,0.65289,40.625,30.875,69.375,39,55.2,60.5,0
1067,866,467,197,285,324,476,1.8544,1.2321,0.43768,0.69123,0.68067,45.25,86.875,53.5,39.4,57,59.5,0
946,553,901,355,328,457,343,0.6138,1.7107,0.95243,1.08232,1.33236,57,44.375,26.125,71,65.6,42.875,0
769,750,881,255,353,310,490,0.8513,1.0253,1.14564,0.72238,0.63265,60.625,50.5,54.375,51,53.6,61.25,0
850,736,814,270,391,265,535,0.9042,1.1549,0.95765,0.69054,0.49533,57.375,55.625,49.375,54,78.2,66.875,0
1145,645,610,215,242,474,326,1.0574,1.7752,0.53275,0.88843,1.45399,40.125,63.875,20.75,43,48.4,40.75,0
